Sintoma 1,Sintoma 2,Doenca Associada
dor no peito,aperto no tórax,Infarto Agudo do Miocárdio
cansaço constante,fadiga,Insuficiência Cardíaca
falta de ar,dificuldade para respirar,Angina
palpitações,batimento irregular,Arritmia Cardíaca
visão turva,dor de cabeça,Crise Hipertensiva
suor frio,náuseas,Colapso Cardiovascular
pernas inchadas,peso nas pernas,Edema Periférico
queimação no peito,desconforto no peito,Isquemia Miocárdica
desmaio,síncope,Síncope Cardiovascular
coração acelerado,pulso rápido,Taquicardia
chiado no peito,respiração curta,Congestão Pulmonar
palidez,corpo gelado,Choque Cardiogênico
dor nas costas,braço esquerdo,Possivel Infarto (Irradiacao)
pressao na nuca,dor pulsante,Hipertensao Arterial
tontura,perda de equilibrio,Labirintite ou Hipotensao
tosse seca,dor ao respirar,Pericardite
suor excessivo,palidez cutanea,Choque Hipovolemico
batimento lento,bradicardia,Bloqueio Atrioventricular
dor no braco,dormencia,Angina Instavel
perda de consciencia,colapso,Parada Cardiorrespiratoria
