condicao_id,sintoma_1,sintoma_2,doenca_associada,risco_sugerido,fontes_ids
angina_estavel,alivia ao parar,cansaço ao esforço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,cansaço ao fazer atividade,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,desconforto no ombro,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,desconforto que vai para o braço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,diminuição da resistência física,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,dor que sobe para o pescoço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,fadiga ao esforço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,falta de ar no esforço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,alivia ao parar,fôlego curto ao subir ladeira,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,alivia ao parar,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,cansaço ao esforço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,cansaço ao fazer atividade,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,desconforto no ombro,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,desconforto que vai para o braço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,diminuição da resistência física,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,dor que sobe para o pescoço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,fadiga ao esforço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,falta de ar no esforço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,fôlego curto ao subir ladeira,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,melhora com repouso,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,aperto no peito ao subir escadas,passa quando descanso,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,cansaço ao esforço,cansaço ao fazer atividade,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,cansaço ao esforço,desconforto no ombro,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
angina_estavel,cansaço ao esforço,desconforto que vai para o braço,Angina Estável / Doença Coronariana,baixo_risco,S05|S06|S09
