frase,situacao
"Sinto uma dor forte no peito que irradia para o braço esquerdo e vem acompanhada de falta de ar","alto risco"
"Estou com cansaço extremo há três dias, mesmo sem fazer esforço","alto risco"
"Tenho falta de ar intensa quando subo escadas e aperto no peito","alto risco"
"Acordei com dor no peito que não passa com repouso","alto risco"
"Sinto palpitações fortes e tontura frequente","alto risco"
"Estou com dor no peito que piora com esforço físico e suor frio","alto risco"
"Tenho dificuldade para respirar mesmo em repouso","alto risco"
"Sinto uma pressão forte no tórax e náuseas","alto risco"
"Estou com falta de ar súbita e dor irradiando para o pescoço","alto risco"
"Tenho tontura intensa acompanhada de batimentos cardíacos irregulares","alto risco"
"Estou sentindo dor no peito que parece uma facada e falta de ar","alto risco"
"Acordei suando frio com forte dor no peito","alto risco"
"Tenho inchaço nas pernas e falta de ar ao deitar","alto risco"
"Sinto uma queimação no peito que vem com falta de ar forte","alto risco"
"Estou com dor no peito e o braço esquerdo formigando","alto risco"
"Sinto uma dor leve nas costas depois de carregar peso","baixo risco"
"Tenho uma dorzinha de cabeça desde ontem à tarde","baixo risco"
"Estou com um pouco de cansaço por ter dormido mal","baixo risco"
"Sinto um incômodo leve no peito quando me movimento rápido","baixo risco"
"Tenho uma dor muscular nas pernas após caminhar bastante","baixo risco"
"Estou com azia leve após comer comida pesada","baixo risco"
"Sinto um leve desconforto no ombro direito","baixo risco"
"Tenho uma dorzinha no peito que passa quando descanso","baixo risco"
"Estou com cansaço normal depois de um dia corrido","baixo risco"
"Sinto um leve aperto no peito quando fico ansioso","baixo risco"
"Tenho uma dor de cabeça leve e passageira","baixo risco"
"Estou com um incômodo nas costas que melhora com alongamento","baixo risco"
"Sinto um pouco de fadiga, mas nada que me impeça de fazer as atividades","baixo risco"
"Tenho uma dor leve no braço depois de malhar","baixo risco"
"Estou com um desconforto leve no peito que some quando respiro fundo","baixo risco"
"Estou com falta de ar severa e dor no peito que não melhora","alto risco"
"Sinto uma pressão intensa no peito acompanhada de suor frio","alto risco"
"Tenho palpitações muito fortes e sensação de desmaio","alto risco"
"Acordei com dor no peito irradiando para as costas e falta de ar","alto risco"
"Estou com inchaço nos pés e dificuldade extrema para respirar","alto risco"
"Sinto dor forte no peito que vem com enjoo e tontura","alto risco"
"Tenho falta de ar repentina e batimentos cardíacos acelerados","alto risco"
"Estou sentindo uma dor opressiva no tórax que piora ao deitar","alto risco"
"Tenho dor no peito com irradiação para o maxilar e braço","alto risco"
"Sinto fraqueza súbita nas pernas junto com falta de ar","alto risco"
"Estou com dor no peito forte e sensação de peso no tórax","alto risco"
"Tenho tontura intensa e palpitações irregulares há horas","alto risco"
"Acordei com aperto no peito e dificuldade para respirar fundo","alto risco"
"Sinto dor no peito que irradia para o ombro esquerdo e suor","alto risco"
"Estou com falta de ar ao mínimo esforço e cansaço extremo","alto risco"
"Tenho uma dor leve no pescoço depois de ficar muito tempo no celular","baixo risco"
"Sinto um leve cansaço muscular após o treino de ontem","baixo risco"
"Estou com uma dorzinha no peito que parece gases","baixo risco"
"Tenho um incômodo leve nas costas que melhora quando me alongo","baixo risco"
"Sinto fadiga normal por ter trabalhado muito hoje","baixo risco"
"Estou com uma leve dor de cabeça que passa com remédio","baixo risco"
"Tenho um desconforto leve no braço direito após carregar sacolas","baixo risco"
"Sinto um pouco de azia depois do almoço","baixo risco"
"Estou com cansaço leve, mas consigo fazer minhas atividades normalmente","baixo risco"
"Tenho uma dor muscular leve nas pernas de tanto andar","baixo risco"
"Sinto um leve aperto no peito quando fico nervoso, mas passa rápido","baixo risco"
"Estou com uma dorzinha passageira no ombro","baixo risco"
"Tenho um incômodo leve no peito que some quando descanso","baixo risco"
"Sinto um pouco de cansaço por causa do calor","baixo risco"
"Tenho uma dor leve nas costas que melhora com massagem","baixo risco"
